State,Primary Use Category,Water User,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,AG,Yuma Mesa IDD,,,,,,,,"251,274","229,828","236,565","235,571","226,665","219,057","211,508","206,817","224,302","230,350","241,289","204,751","185,094","191,562","201,689","211,261","224,584","218,172","190,952","211,127","180,948","191,001","190,982","198,862","201,021","203,787","188,356","179,134","179,690","179,139","150,636","159,168","89,005","93,640","104,970","76,775","74,311","64,134","71,510","84,371","96,906","123,781"
,AG,"Unit ""B"" Irrigation District",,,,,,,,"40,824","38,461","38,497","39,832","37,436","37,225","36,726","36,759","36,644","35,522","36,747","30,614","26,864","30,716","29,127","30,701","29,913","31,684","24,681","27,283","23,339","24,827","24,095","24,339","25,734","25,231","21,282","20,969","22,414","21,565","15,980","14,314","12,466","14,312","13,997","13,174","12,625","10,030","13,467","13,950","18,432","19,987"
,AG,Fort Yuma Indian Reservation (Quechan),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,"1,779","1,492",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,617,821,440,423,341,757,966
,AG,Yuma County Water Users' Assn,,,,,,,,"181,945","188,988","222,920","230,203","232,601","212,741","188,854","206,411","200,776","199,505","224,667","206,199","168,769","174,710","184,918","171,749","183,780","202,557","210,419","233,358","225,073","202,630","179,820","205,099","225,292","231,122","222,706","221,057","237,587","178,526","230,675","241,227","210,603","222,309","227,658","243,091","241,853","249,717","225,181","227,272","242,553","246,055"
,AG,Cocopah Indian Reservation,,,,,,,,976,957,845,"1,045",857,"1,291","1,490","1,734",964,"1,256",897,970,820,"4,279","8,922","5,700","1,595","1,192","1,498","1,400","1,235","1,572","11,564","15,795","15,765","1,352","8,854","12,893","11,505","12,061","9,957","16,006","6,445","3,790","3,563","5,179","3,370","3,874","4,039","3,757","7,750","5,583"
,M&I,"Yuma Area Office, USBR",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,12,402,"1,450",968,968,968,968,850,850,180,"1,226",153,29,85,872,153,532,323,18
,AG,Pumped from South Gila Wells,,,,,,,,"(65,952)","(62,281)","(57,422)","(51,126)","(55,156)","(55,821)","(56,525)","(55,327)","(54,918)","(67,242)","(60,067)","(53,217)","(63,323)","(64,089)","(68,347)","(61,422)","(53,162)","(55,934)","(47,376)","(57,417)","(55,143)","(31,242)","(45,353)","(37,741)","(59,727)","(57,368)","(67,679)","(71,515)","(74,223)","(69,525)","(60,814)","(60,354)",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0
,AG,Pumped from Yuma Mesa Outlet Drain,,,,,,,,"(1,753)","(32,808)","(58,680)","(58,070)","(56,280)","(46,991)","(40,892)","(31,558)","(17,758)","(23,243)","(47,097)","(50,868)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Energy,Yucca Power Plant,,,,,,,,695,853,900,994,825,558,799,959,883,843,779,592,--,--,--,472,372,406,498,475,250,190,371,334,323,728,680,597,775,587,804,926,404,385,344,658,665,719,639,795,539,300
,Wildlife,AZ Game and Fish,,,,,,,,--,--,--,--,--,--,--,193,56,"1,980","1,980",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,M&I,North Cocopah Wells,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"2,296",,,,--,--,--,--,--,--,--
,Recreation,Marble Canyon Company,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,18,24,21,20,27,17,16,18,25,17,11,12,11,9,9
,M&I,Crystal Beach Water C. D.,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,90,90,90,90,90,58,64,120,75,70,70,70,104,68,68
,Recreation,Arizona State Parks (Windsor Beach),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,3,1,22,36,25,25,20,31,12,20,20,20,18,17
,M&I,Havasu Water Co of AZ (Citizens Utilities),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,455,389,423,476,651,653,736,420,422,639,553,488,592,509,807,536,514
,M&I,Hillcrest Water Co.,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,22,21,0,23,24,32,21,23,32,19,18,18,19,30,10,10
,AG,BLM Permitees,,,,,,,,--,--,--,28,45,78,78,66,66,75,76,86,126,126,62,91,102,104,105,104,5,73,149,433,764,859,913,865,954,"1,122","1,254","1,179",736,877,894,549,801,634,601,703,575,677
,AG,Arizona State Land Department,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,77,46,43,21,35,16,14
,M&I,Fisher's Landing,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,26,20,12
,M&I,Shepard Water Company,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,33,18,15
,M&I,Cocopah Bend RV Park,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,357,343,340,340,340,340,340,340,340,340,340,340,340,340,,340,340,340,--,--,--,--,--,--,--
,Minerals,Golden Standard Mines,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,AG,Other Users Pumping from CO River,,,,,,,,"48,453","48,486","46,592","46,425","60,146","43,752","40,742","38,074","45,070","24,706","26,467","21,210","18,842","19,941","23,909","33,818","52,057","49,784","48,089","35,441","44,581","43,353","34,135","34,756","35,030","34,828","33,070","30,254","32,345","51,532","50,454","34,528","14,764","17,336","16,108","15,372","17,003","14,018","14,919","13,822","14,419","14,465"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Arizona Totals,"1,127,176","1,008,531","1,073,055","1,106,894","1,169,240","1,138,085","1,201,441","1,296,930","1,203,043","1,268,744","1,325,631","1,358,003","1,248,020","1,231,274","1,234,942","1,150,853","1,221,563","1,415,850","1,240,384","1,085,453","1,116,116","1,194,208","1,356,930","1,734,172","1,922,737","2,229,698","2,260,272","1,864,360","1,906,071","2,246,695","2,152,411","2,221,346","2,714,754","2,853,886","2,566,707","2,727,960","2,802,758","2,841,028","2,969,230","2,830,599","2,784,645","2,428,469","2,782,866","2,783,323","2,752,497","2,831,711","2,780,367","2,781,108","2,789,667"
,,Estimated unmeasured return flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,284",,,,,,,,,,," 207,415 "," 192,537 "," 161,955 "," 156,912 ","143,842","148,258","169,243","153,216","163,244",,,,,,,,,,
,,AZ Totals,"1,127,176","1,008,531","1,073,055","1,106,894","1,169,240","1,138,085","1,201,441","1,296,930","1,203,043","1,268,744","1,325,631","1,358,003","1,248,020","1,231,274","1,234,942","1,150,853","1,221,563","1,415,850","1,240,384","1,062,169","1,116,116","1,194,208","1,356,930","1,734,172","1,922,737","2,229,698","2,260,272","1,864,360","1,906,071","2,246,695","1,944,996","2,028,809","2,552,799","2,696,974","2,422,865","2,579,702","2,633,515","2,687,812","2,805,986","2,830,599","2,784,645","2,428,469","2,782,866","2,783,323","2,752,497","2,831,711","2,780,367","2,781,108","2,789,667"
